"","behavior","burst","odba","mean.dxy","mean.dyz","mean.dxz","sd.dxy","sd.dyz","sd.dxz","cov.dxy","cov.dxz","cov.dyz","cor.dxy","cor.dxz","cor.dyz","sk.dx","ku.dx","sk.dy","ku.dy","sk.dz","ku.dz","max.dx","min.dx","amp.dx","max.dy","min.dy","amp.dy","max.dz","min.dz","amp.dz"
"5161","A_FLIGHT",44,20.5117621418279,0.0400623959400011,0.29854985293375,0.338612248873751,12.9433243196396,13.4888692459097,14.3443320614306,-24.7895682243872,-18.1636023419088,-15.9584095142066,-0.426141977342088,-0.218355141789836,-0.22648336148558,-0.806868721908198,2.89814532639549,-0.684874082117428,2.17161003252037,-0.632976119125212,2.25870761724716,14.3852222444,-18.6012219828,32.9864442272,10.13827262275,-14.3501684212,24.48844104395,15.8560577882,-21.613762998,37.4698207862
"5281","A_FLIGHT",45,19.5471891274108,-0.0926634385349987,0.0499812919941646,-0.0426821465408344,12.7550937647337,12.6175157840994,13.8673088157245,-15.1352892098896,-25.9061404290136,-16.3517672231119,-0.229878851489808,-0.3691252696117,-0.259057159126179,-0.788955026290849,2.32993520242887,-0.826377908693357,2.6212738553298,-0.858758904034578,2.50740201044208,10.6524557706,-16.9329834455,27.5854392161,10.7784866258,-16.162918444,26.9414050698,10.5843977222,-17.7316038378,28.31600156
"5401","A_FLIGHT",46,19.5889552385833,0.083758167204583,0.164504826470415,0.248262993674998,13.2442575195476,13.4769989247889,14.358565990261,-19.225343766917,-33.3131721923498,-25.5038016709739,-0.281341946650102,-0.477957427738698,-0.390574443197736,-0.83628557390012,2.72902397071438,-0.833942153921397,2.46972324136701,-0.752102701391601,2.29745909358872,12.2567963372,-18.7618456836,31.0186420208,10.2215706558,-16.0457051898,26.2672758456,11.125467836,-15.7414086366,26.8668764726
"5521","A_FLIGHT",47,17.3369236718171,0.0703020063824997,0.0723199862987496,0.142621992681249,12.2860202224355,11.4367278036973,10.8881791005092,-21.7127786336759,-10.0845203828933,-12.9313709933394,-0.404632871141964,-0.205075289448023,-0.247401748572759,-0.781635223986503,2.51740925038776,-0.747380623303945,2.55444125441692,-0.754968648754944,2.84061136951203,10.6269141316,-16.2109500438,26.8378641754,12.9605791966,-16.8181822364,29.778761433,11.8988465008,-16.9669334424,28.8657799432
"5641","A_FLIGHT",48,18.5168596399217,0.119288650170833,0.0591837980008334,0.178472448171667,13.396318420294,11.5613405999308,13.0494601717942,-27.6720754278354,-24.0306750045376,-13.9387362385425,-0.449866118987275,-0.397711400985685,-0.263566323801255,-0.682382065092019,2.52333648238892,-0.530854082351793,2.25070573423709,-0.615014038359629,2.50552308260184,13.09333896,-19.3640758632,32.4574148232,11.645833631,-15.2234165092,26.8692501402,10.6583179424,-17.3641868912,28.0225048336
"5761","A_FLIGHT",49,18.4967966663129,0.0719585049708349,0.0354556085383324,0.107414113509167,14.6542164763369,12.7613254959948,11.6223626721234,-35.8449574462801,-10.3816656471848,-26.9273067291573,-0.50147809252806,-0.190272353103022,-0.512220692185923,-0.973639345038693,2.80815655686407,-0.936693481411012,2.70767980299728,-0.742133345362664,2.56457824727695,11.3891439296,-18.4328051064,29.821949036,9.8678820946,-19.5014359698,29.3693180644,9.7081091212,-17.0193148308,26.727423952
"5881","A_FLIGHT",50,16.3395321821037,-0.0175816684154165,0.15385597027,0.136274301854583,11.4921726204687,11.1091660402645,10.9657645967257,-21.6722110071481,-18.7860842418848,-12.6635894629241,-0.496061881605192,-0.457392896822608,-0.258705527059645,-0.563666009904119,2.05242063124141,-0.875509907672132,2.88882269799254,-0.783116034172024,3.08528697442271,8.641026282,-13.7051909398,22.3462172218,10.7592722372,-19.3518506926,30.1111229298,12.4392606364,-16.8693217834,29.3085824198
"6001","A_FLIGHT",51,15.38817670186,-0.0202328356620833,0.134114857060417,0.113882021398334,10.8432939141173,9.77989003395408,10.0376181421393,-18.2371348297851,-12.9191183241593,-15.6866805792256,-0.453651981811379,-0.353945326764115,-0.490405009487492,-0.745858925169398,2.74811794135367,-0.514089848566133,1.62966967993547,-0.372692991335041,1.47039917411859,10.9917288854,-14.9386801658,25.9304090512,7.1894166022,-9.69815174225,16.88756834445,6.1705597142,-7.8841323778,14.054692092
"6121","A_FLIGHT",52,22.1870384091554,-0.232892917692917,0.133283846643334,-0.099609071049583,13.5044674506729,16.1482088124385,13.3537603678627,1.63780558054017,-25.4985410279729,-36.4930436480693,0.0186614979452516,-0.400580410514833,-0.40890318297024,-0.165773807038907,1.92552503607434,-0.659305256863443,2.34838917329493,-0.801270311084589,2.40396948547829,13.5737725564,-14.92900775,28.5027803064,17.6306720508,-22.2133661562,39.844038207,11.20270342775,-16.7121164032,27.91481983095
"6241","A_FLIGHT",53,20.4068585514125,-0.0640443027283359,0.222351062841251,0.158306760112915,14.8596956334392,12.7893251636547,14.3878800280954,-23.3601609721014,-23.6830064376819,-25.8771614752211,-0.279110378703832,-0.322224953665599,-0.466778718553198,-0.0867771829028149,2.24301407760458,-0.455695091229098,2.86877453675445,-0.354751167214361,2.70977081440137,24.576081797,-19.8345946586,44.4106764556,16.0658336394,-20.221623252,36.2874568914,13.1063129558,-14.1190332492,27.225346205
"6361","A_FLIGHT",54,19.8418771389771,0.115421276467083,0.0685126463854176,0.183933922852501,13.3443149756966,12.9994929566451,12.5242456605431,-22.2828536508564,-23.4485747461056,-27.9680668649387,-0.3339024449778,-0.434070478512424,-0.505881772284512,-0.741151847639068,1.81568229543233,-0.884006712696126,2.59657846341882,-0.520189540021435,1.4889133192899,8.6188630026,-16.1300699984,24.748933001,11.1778240496,-18.593470553,29.7712946026,9.376675651,-11.3987854773333,20.7754611283333
